zodiac_sign,age,gender,responsabilidad_disciplina_tareas_diarias,preferencia_horario_estructurado,adaptabilidad_cambios_variedad,comodidad_situaciones_nuevas,conexion_emocional_otros,afectado_emociones_ajenas,motivacion_grandes_metas_liderazgo,iniciativa_proyectos_grupales,creatividad_expresion_artistica,placer_actividades_creativas,importancia_estabilidad_seguridad,incomodidad_incertidumbre_cambios,compromiso_pasion_intensidad,dificultad_indiferencia_desapasionada,persona_optimista_lado_positivo,entusiasmo_enfrentar_desafios,valoracion_independencia_libertad,preferencia_decisiones_propias,detallista_precision_tareas,perfeccionamiento_detalles_proyectos

Aries,21,Masculino,8,3,1,10,2,9,3,10,1,10,8,2,9,9,2,8,9,2,8,10

Virgo,22,Femenino,2,8,1,3,2,2,1,8,4,1,4,2,3,4,8,5,3,9,8,4

Acuario,22,Femenino,8,8,6,8,8,9,9,8,8,9,10,9,8,8,8,9,9,9,8,10

